strain	segment	accession	originating_lab	date	country
B/Peru/02885Aahng/2023	HA	EPI_ISL_18786179	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27	Peru
B/Peru/2831/2023	HA	EPI_ISL_18786176	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-01	Peru
B/Peru/01237Aaeew/2023	HA	EPI_ISL_18786177	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27	Peru
B/Peru/4211/2023	HA	EPI_ISL_18022586	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-01-11	Peru
B/Peru/LIM-UPCH-4719/2024	HA	EPI_ISL_19614107	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25	Peru
B/Peru/LIM-UPCH-4718/2024	HA	EPI_ISL_19614106	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-12	Peru
B/Peru/LIM-UPCH-4717/2024	HA	EPI_ISL_19614105	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-11	Peru
B/Peru/LIM-UPCH-4716/2024	HA	EPI_ISL_19614104	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-10	Peru
B/Peru/LIM-UPCH-4720/2024	HA	EPI_ISL_19614108	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-30	Peru
B/Peru/LIM-UPCH-4715/2024	HA	EPI_ISL_19614103	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25	Peru
B/Peru/LIM-INS-119/2024	HA	EPI_ISL_19530390	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-01-04	Peru
B/Peru/LIM-UPCH-4682/2024	HA	EPI_ISL_19463928	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03	Peru
B/Peru/LIM-UPCH-4685/2024	HA	EPI_ISL_19463929	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-06	Peru
B/Peru/LIM-UPCH-4690/2024	HA	EPI_ISL_19463931	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-13	Peru
B/Peru/LIM-UPCH-4696/2024	HA	EPI_ISL_19463932	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22	Peru
B/Peru/LIM-UPCH-4697/2024	HA	EPI_ISL_19463933	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22	Peru
B/Peru/LIM-UPCH-4677/2024	HA	EPI_ISL_19463926	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-27	Peru
B/Peru/LIM-UPCH-4681/2024	HA	EPI_ISL_19463927	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03	Peru
B/Peru/4317/2023	HA	EPI_ISL_18022604	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-21	Peru
B/Peru/GIHSN-HCL023164105501/2023	HA	EPI_ISL_18599152	Center_for_Veterinary_Diagnostics_-_Regional_Animal_Health_Office_No.6	2023-02-28	Peru
B/Peru/3472/2023	HA	EPI_ISL_18092013	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-16	Peru
B/Peru/2161/2023	HA	EPI_ISL_18022639	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-04-26	Peru
B/Peru/03472/2023	HA	EPI_ISL_18092010	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-10	Peru
