strain	segment	accession	originating_lab	date
B/Peru/LIM-UPCH-4708/2024	HA	EPI_ISL_19463991	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-05
B/Peru/02888Aakpr/2024	HA	EPI_ISL_19284748	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-05-22
B/Peru/LIM-UPCH-4698/2024	HA	EPI_ISL_19463938	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-26
B/Peru/3886/2023	HA	EPI_ISL_18022713	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-01-18
B/Peru/02885Aahnc/2023	HA	EPI_ISL_18786098	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-20
B/Peru/02888Aakdn/2023	HA	EPI_ISL_18786097	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-02
B/Peru/LIM-UPCH-4700/2024	HA	EPI_ISL_19463960	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-28
B/Peru/LIM-UPCH-4701/2024	HA	EPI_ISL_19463961	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-29
B/Peru/7638/2023	HA	EPI_ISL_18022690	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-11
B/Peru/ARE-INS-092/2024	HA	EPI_ISL_19383060	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-05-23
B/Peru/LIM-UPCH-4703/2024	HA	EPI_ISL_19463966	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03
B/Peru/LIM-UPCH-4699/2024	HA	EPI_ISL_19463959	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-27
B/Peru/UPCH_3919/2023	HA	EPI_ISL_17765198	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-03-09
B/Peru/9066/2023	HA	EPI_ISL_18022728	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-28
B/Peru/2885/2023	HA	EPI_ISL_18786174	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-29
B/Peru/02885Aahlc/2023	HA	EPI_ISL_18786175	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-02
B/Peru/4054/2023	HA	EPI_ISL_18786172	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-31
B/Peru/1237/2023	HA	EPI_ISL_18786173	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-25
B/Peru/2017/2023	HA	EPI_ISL_18022775	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-22
B/Peru/01237Aaeev/2023	HA	EPI_ISL_18786171	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27
B/Peru/LIM-UPCH-4726/2024	HA	EPI_ISL_19614275	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-03
B/Peru/LIM-UPCH-4725/2024	HA	EPI_ISL_19614274	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-03
B/Peru/0727/2023	HA	EPI_ISL_18022522	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-30
B/Peru/LIM-UPCH-4724/2024	HA	EPI_ISL_19614273	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-23
B/Peru/LIM-UPCH-4723/2024	HA	EPI_ISL_19614272	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-16
B/Peru/LIM-UPCH-4730/2024	HA	EPI_ISL_19614278	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-14
B/Peru/LIM-UPCH-4728/2024	HA	EPI_ISL_19614277	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-01
B/Peru/LIM-UPCH-4727/2024	HA	EPI_ISL_19614276	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-07
B/Peru/1409/2023	HA	EPI_ISL_18022757	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-11
B/Lima/PAH270132086/2023(H0N0)	HA	EPI_ISL_19031456	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-10-16
B/Trujillo/TRU02817/2023(H0N0)	HA	EPI_ISL_19031463	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-05
B/Peru/02888Aakdk/2023	HA	EPI_ISL_18786200	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-04
B/Trujillo/TRU02825/2023(H0N0)	HA	EPI_ISL_19031466	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-23
B/Peru/10185Aanzs/2023	HA	EPI_ISL_18786198	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-22
B/Trujillo/TRU02826/2023(H0N0)	HA	EPI_ISL_19031467	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-25
B/Trujillo/TRU02818/2023(H0N0)	HA	EPI_ISL_19031464	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-05
B/Peru/2645/2023	HA	EPI_ISL_18786196	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-08
B/Trujillo/TRU02822/2023(H0N0)	HA	EPI_ISL_19031465	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-13
B/Trujillo/TRU02832/2023(H0N0)	HA	EPI_ISL_19031470	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-02-03
B/Peru/01237Aaefb/2023	HA	EPI_ISL_18786194	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-06
B/Trujillo/TRU02866/2023(H0N0)	HA	EPI_ISL_19031471	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-03-06
B/Trujillo/TRU02828/2023(H0N0)	HA	EPI_ISL_19031468	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-26
B/Peru/02645Aaaek/2023	HA	EPI_ISL_18786192	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-08
B/Trujillo/TRU02829/2023(H0N0)	HA	EPI_ISL_19031469	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-01-27
B/Peru/2888/2023	HA	EPI_ISL_18786190	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-12
B/Peru/1292/2023	HA	EPI_ISL_18786188	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-03
B/Peru/02883Aalsw/2023	HA	EPI_ISL_18786186	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-15
B/Peru/6669/2023	HA	EPI_ISL_18022791	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-16
B/Peru/01237Aaefa/2023	HA	EPI_ISL_18786187	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-03
B/Peru/1293/2023	HA	EPI_ISL_18786184	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-02
B/Peru/2883/2023	HA	EPI_ISL_18786185	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-07
B/Peru/LIM-UPCH-4111/2024	HA	EPI_ISL_18911416	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-01-15
B/Peru/02883Aaltu/2023	HA	EPI_ISL_18786182	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-06
B/Peru/LIM-UPCH-4112/2023	HA	EPI_ISL_18911417	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-11-13
B/Peru/02883Aalsx/2023	HA	EPI_ISL_18786183	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-18
B/Peru/1232/2023	HA	EPI_ISL_18786180	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-18
B/Peru/0753/2023	HA	EPI_ISL_18786181	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-27
B/Peru/02885Aahkz/2023	HA	EPI_ISL_18786178	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-04
B/Peru/02885Aahng/2023	HA	EPI_ISL_18786179	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27
B/Peru/2831/2023	HA	EPI_ISL_18786176	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-01
B/Peru/01237Aaeew/2023	HA	EPI_ISL_18786177	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27
B/Cuzco/CUS00901/2023(H0N0)	HA	EPI_ISL_19031431	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-02-15
B/Cuzco/CUS00961/2023(H0N0)	HA	EPI_ISL_19031434	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-21
B/Cuzco/CUS01012/2023(H0N0)	HA	EPI_ISL_19031435	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-06-13
B/Peru/4211/2023	HA	EPI_ISL_18022586	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-01-11
B/Cuzco/CUS00905/2023(H0N0)	HA	EPI_ISL_19031432	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-02-20
B/Cuzco/CUS00915/2023(H0N0)	HA	EPI_ISL_19031433	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-03-06
B/Iquitos/FPI20611/2023(H0N0)	HA	EPI_ISL_19031439	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-04
B/Cuzco/CUS01037/2023(H0N0)	HA	EPI_ISL_19031436	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-07-05
B/Cuzco/CUS01074/2023(H0N0)	HA	EPI_ISL_19031437	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-08-17
B/Peru/LIM-UPCH-4719/2024	HA	EPI_ISL_19614107	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25
B/Iquitos/FPI20644/2023(H0N0)	HA	EPI_ISL_19031442	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-26
B/Peru/LIM-UPCH-4718/2024	HA	EPI_ISL_19614106	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-12
B/Iquitos/FPI20676/2023(H0N0)	HA	EPI_ISL_19031443	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-05-15
B/Peru/LIM-UPCH-4717/2024	HA	EPI_ISL_19614105	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-11
B/Iquitos/FPI20625/2023(H0N0)	HA	EPI_ISL_19031440	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-17
B/Peru/LIM-UPCH-4716/2024	HA	EPI_ISL_19614104	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-10
B/Iquitos/FPI20642/2023(H0N0)	HA	EPI_ISL_19031441	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-26
B/Iquitos/FPI20729/2023(H0N0)	HA	EPI_ISL_19031446	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-05-30
B/Iquitos/FPI20776/2023(H0N0)	HA	EPI_ISL_19031447	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-06-15
B/Iquitos/FPI20709/2023(H0N0)	HA	EPI_ISL_19031444	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-05-22
B/Peru/LIM-UPCH-4720/2024	HA	EPI_ISL_19614108	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-30
B/Iquitos/FPI20726/2023(H0N0)	HA	EPI_ISL_19031445	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-05-26
B/Piura/FPP04791/2023(H0N0)	HA	EPI_ISL_19031450	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-03-23
B/Piura/FPP04824/2023(H0N0)	HA	EPI_ISL_19031451	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-19
B/Iquitos/FPI20832/2023(H0N0)	HA	EPI_ISL_19031448	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-07-11
B/Iquitos/FPI20838/2023(H0N0)	HA	EPI_ISL_19031449	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-07-12
B/Peru/LIM-UPCH-4715/2024	HA	EPI_ISL_19614103	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25
B/Peru/LIM-INS-119/2024	HA	EPI_ISL_19530390	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-01-04
B/Lima/IPE06264/2023(H0N0)	HA	EPI_ISL_19031455	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-03-17
B/Piura/FPP04910/2023(H0N0)	HA	EPI_ISL_19031452	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-06-09
B/Yurimaguas/FPY01820/2023(H0N0)	HA	EPI_ISL_19031453	Naval_Medical_Research_Unit_6_(NAMRU-6)	2023-04-17
B/Peru/LIM-UPCH-4682/2024	HA	EPI_ISL_19463928	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03
B/Peru/LIM-UPCH-4685/2024	HA	EPI_ISL_19463929	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-06
B/Peru/LIM-UPCH-4686/2024	HA	EPI_ISL_19463930	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-09
B/Peru/LIM-UPCH-4690/2024	HA	EPI_ISL_19463931	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-13
B/Peru/LIM-UPCH-4696/2024	HA	EPI_ISL_19463932	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22
B/Peru/LIM-UPCH-4697/2024	HA	EPI_ISL_19463933	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22
B/Peru/LIM-UPCH-4677/2024	HA	EPI_ISL_19463926	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-27
B/Peru/LIM-UPCH-4681/2024	HA	EPI_ISL_19463927	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03
B/Peru/4317/2023	HA	EPI_ISL_18022604	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-21
B/Peru/GIHSN-HCL023164105501/2023	HA	EPI_ISL_18599152	Center_for_Veterinary_Diagnostics_-_Regional_Animal_Health_Office_No.6	2023-02-28
B/Peru/3472/2023	HA	EPI_ISL_18092013	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-16
B/Peru/2161/2023	HA	EPI_ISL_18022639	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-04-26
B/Peru/03472/2023	HA	EPI_ISL_18092010	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-10
